,datetime,pump_voltage_V,feedrate_ml_D
11639,2023-06-07 13:54:23,0.003,-25.606368000000003
11640,2023-06-07 13:54:30,0.003,-25.606368000000003
11641,2023-06-07 13:54:37,0.003,-25.606368000000003
11642,2023-06-07 13:54:44,0.003,-25.606368000000003
11643,2023-06-07 13:54:51,0.003,-25.606368000000003
11644,2023-06-07 13:54:58,0.003,-25.606368000000003
11645,2023-06-07 13:55:05,0.003,-25.606368000000003
11646,2023-06-07 13:55:12,0.003,-25.606368000000003
11647,2023-06-07 13:55:20,0.003,-25.606368000000003
11648,2023-06-07 13:55:27,0.003,-25.606368000000003
11649,2023-06-07 13:55:34,0.003,-25.606368000000003
11650,2023-06-07 13:55:41,0.003,-25.606368000000003
11651,2023-06-07 13:55:48,0.003,-25.606368000000003
11652,2023-06-07 13:55:55,0.003,-25.606368000000003
11653,2023-06-07 13:56:02,0.003,-25.606368000000003
11654,2023-06-07 13:56:09,0.003,-25.606368000000003
11655,2023-06-07 13:56:16,0.003,-25.606368000000003
11656,2023-06-07 13:56:23,0.003,-25.606368000000003
11657,2023-06-07 13:56:30,0.003,-25.606368000000003
11658,2023-06-07 13:56:37,0.003,-25.606368000000003
11659,2023-06-07 13:56:44,0.003,-25.606368000000003
11660,2023-06-07 13:56:51,0.003,-25.606368000000003
11661,2023-06-07 13:56:58,0.003,-25.606368000000003
11662,2023-06-07 13:57:06,0.003,-25.606368000000003
11663,2023-06-07 13:57:13,0.003,-25.606368000000003
11664,2023-06-07 13:57:20,0.003,-25.606368000000003
11665,2023-06-07 13:57:27,0.003,-25.606368000000003
11666,2023-06-07 13:57:34,0.003,-25.606368000000003
11667,2023-06-07 13:57:41,0.003,-25.606368000000003
11668,2023-06-07 13:57:48,0.003,-25.606368000000003
11669,2023-06-07 13:57:55,0.003,-25.606368000000003
11670,2023-06-07 13:58:02,0.003,-25.606368000000003
11671,2023-06-07 13:58:09,0.003,-25.606368000000003
11672,2023-06-07 13:58:16,0.003,-25.606368000000003
11673,2023-06-07 13:58:23,0.003,-25.606368000000003
11674,2023-06-07 13:58:30,0.003,-25.606368000000003
11675,2023-06-07 13:58:37,0.003,-25.606368000000003
11676,2023-06-07 13:58:44,0.003,-25.606368000000003
11677,2023-06-07 13:58:51,0.003,-25.606368000000003
11678,2023-06-07 13:58:59,0.003,-25.606368000000003
11679,2023-06-07 13:59:06,0.003,-25.606368000000003
11680,2023-06-07 13:59:13,0.003,-25.606368000000003
11681,2023-06-07 13:59:20,0.003,-25.606368000000003
11682,2023-06-07 13:59:27,0.003,-25.606368000000003
11683,2023-06-07 13:59:34,0.003,-25.606368000000003
11684,2023-06-07 13:59:41,0.003,-25.606368000000003
11685,2023-06-07 13:59:48,0.003,-25.606368000000003
11686,2023-06-07 13:59:55,0.003,-25.606368000000003
11687,2023-06-07 14:00:02,0.003,-25.606368000000003
11688,2023-06-07 14:00:09,0.003,-25.606368000000003
11689,2023-06-07 14:00:16,0.003,-25.606368000000003
11690,2023-06-07 14:00:23,0.003,-25.606368000000003
11691,2023-06-07 14:00:30,0.003,-25.606368000000003
11692,2023-06-07 14:00:37,0.003,-25.606368000000003
11693,2023-06-07 14:00:44,0.003,-25.606368000000003
11694,2023-06-07 14:00:52,0.003,-25.606368000000003
11695,2023-06-07 14:00:59,0.003,-25.606368000000003
11696,2023-06-07 14:01:06,0.003,-25.606368000000003
11697,2023-06-07 14:01:13,0.003,-25.606368000000003
11698,2023-06-07 14:01:20,0.003,-25.606368000000003
11699,2023-06-07 14:01:27,0.003,-25.606368000000003
11700,2023-06-07 14:01:34,0.003,-25.606368000000003
11701,2023-06-07 14:01:41,0.003,-25.606368000000003
11702,2023-06-07 14:01:48,0.003,-25.606368000000003
11703,2023-06-07 14:01:55,0.003,-25.606368000000003
11704,2023-06-07 14:02:02,0.003,-25.606368000000003
11705,2023-06-07 14:02:09,0.003,-25.606368000000003
11706,2023-06-07 14:02:16,0.003,-25.606368000000003
11707,2023-06-07 14:02:23,0.003,-25.606368000000003
11708,2023-06-07 14:02:30,0.003,-25.606368000000003
11709,2023-06-07 14:02:37,0.003,-25.606368000000003
11710,2023-06-07 14:02:45,0.003,-25.606368000000003
11711,2023-06-07 14:02:52,0.003,-25.606368000000003
11712,2023-06-07 14:02:59,0.003,-25.606368000000003
11713,2023-06-07 14:03:06,0.003,-25.606368000000003
11714,2023-06-07 14:03:13,0.003,-25.606368000000003
11715,2023-06-07 14:03:20,0.003,-25.606368000000003
11716,2023-06-07 14:03:27,0.003,-25.606368000000003
